Date Made Public,Company,State,Type of breach,Type of organization,Total Records,Description of incident,Information Source,Source URL,Year of Breach,Latitude,Longitude,breach_type_gA,breach_type_gB,breach_type_gC,breach_type_gD,region_A,region_B,age_of_Law,org_group,records_group,records_index,records_scale,type_scale,org_scale,severity_index1,severity_index2,severity_index3,severity_index4,severity_index5
2009-10-21,Bullitt County Public Schools,Kentucky,DISC,EDU,676,"A Bullitt County Public Schools 
            employee accidentally sent an e-mail message to about 1,800 school 
            district workers that included the names and Social Security numbers 
            of 676 district employees. The employees were identified as not having 
            completed the district's 2010 open-enrollment process for insurance, 
            and the e-mail was intended as a reminder to complete the process.",Dataloss DB,,2009,37.988399,-85.71579200000001,Others,Insider,Others,Network,South,Southeast,0,F_regulated,Others,0.0008129202448659899,10.0,1,8,11.0,18.0,19.0,6.333333333333333,22.333333333333336
2009-10-21,Roane State Community College ,Tennessee,PORT,EDU,14783,"Roane State Community College 
            has announced that the names and Social Security numbers of 9,747 
            current or former students were on a data storage device stolen from 
            an employee's vehicle, along with 1,194 current/former employees' 
            information. The Social Security numbers alone, with no names, were 
            also stolen for 5,036 additional current or former students. The data 
            was on a 4GB USB drive used for work-related purposes. An employee 
            took it home to do work after hours, and left it in the car. The employee 
            forgot to lock the car doors. The USB drive was stolen along with 
            a personal hand-held device.",Dataloss DB,,2009,35.933964,-84.552436,Others,Mixed,Offline,Local,South,Southeast,14,F_regulated,Others,0.017777218905109363,10.0,7,8,17.0,18.0,25.0,8.333333333333334,2.3333333333333335
2009-10-15,Halifax Health,Florida,PORT,MED,33000,"A laptop computer from a Halifax 
            Health employee's vehicle in Orange County was stolen -- which might 
            have contained password protected patient information.",Dataloss DB,,2009,29.210815000000004,-81.02283299999999,Others,Mixed,Offline,Local,South,Southeast,14,F_regulated,Others,0.039683976450558676,10.0,7,10,17.0,20.0,27.0,9.0,3.0
2009-10-04,Suffolk Community College,New York,DISC,EDU,300,"Suffolk Community College has 
            agreed to pay a company for the next year to monitor the credit of 
            300 students whose last names and Social Security numbers were mistakenly 
            listed in an attachment to an e-mail sent to those students last month.",Dataloss DB,,2009,40.866487,-73.035663,Others,Insider,Others,Network,Northeast,Northeast,14,F_regulated,Others,0.00036076342227780615,10.0,1,8,11.0,18.0,19.0,6.333333333333333,22.333333333333336
2009-09-28,Penrose Hospital,Colorado,PHYS,MED,175,"Officials at Penrose Hospital              believe someone has stolen the personal information of 175 patients.              The missing information consists of names, addresses, phone numbers,              Social Security numbers and the reason for the patients' visits. The              information was stored on a computer print-out and kept in a binder              stored in a cabinet. The print out has gone missing.",Dataloss DB,,2009,38.833882,-104.821363,Others,Mixed,Offline,Local,West,West,13,F_regulated,Others,0.0002104453296620536,10.0,7,10,17.0,20.0,27.0,9.0,3.0
2009-09-23,Eastern Kentucky University,Kentucky,DISC,EDU,5045,"The names and Social Security 
            numbers of about 5,000 Eastern Kentucky University faculty, staff 
            and student workers were posted inadvertently on the Internet last 
            September, where they have been displayed for a year.",Dataloss DB,,2009,37.747857,-84.29465400000001,Others,Insider,Others,Network,South,Southeast,0,F_regulated,Others,0.006066838217971774,10.0,1,8,11.0,18.0,19.0,6.333333333333333,22.333333333333336
2009-09-22,Bernard Madoff Investors,Texas,PORT,BSF,2246,"More than 2,200 Bernard Madoff 
            investors are learning that some of their personal and financial information 
            has potentially been breached after the theft of a laptop in Dallas. 
            The names, addresses, Social Security numbers and some Madoff account 
            information on 2,246 investors was contained in a computer stolen 
            from the car of an employee of AlixPartners Llp.",Dataloss DB,,2009,32.802955,-96.76992299999999,Others,Mixed,Offline,Local,South,Southwest,10,F_regulated,Others,0.002700915488119842,10.0,7,9,17.0,19.0,26.0,8.666666666666666,2.3333333333333335
2009-09-22,Sagebrush Medical Plaza/Kern Medical Center,California,PHYS,MED,31000,"Thousands of patients at a Kern 
            County health clinic have been warned their personal information could 
            have been stolen. A break-in happened at the Sagebrush Medical Plaza 
            in July, and Kern Medical Center officials have notified 31,000 patients 
            to take precautions against possible identity theft. One or more unknown 
            individuals broke into a locked storage area that contained confidential 
            patient information. All patient information has now been moved to 
            a location inside the clinic building.",Dataloss DB,,2009,35.373292,-119.01871299999999,Others,Mixed,Offline,Local,West,West,16,F_regulated,Others,0.03727888696870664,10.0,7,10,17.0,20.0,27.0,9.0,3.0
2009-09-21,Rocky Mountain Bank,Wyoming,DISC,BSF,1325,"A customer of the Rocky Mountain 
            Bank asked a bank employee to send certain loan statements to a representative 
            of the customer. The employee, however, inadvertently sent the e-mail 
            to the wrong Gmail address. Additionally, the employee had attached 
            a sensitive file to the e-mail that should not have been sent at all. 
            The attachment contained confidential information on 1,325 individual 
            and business customers that included their names, addresses, tax identification 
            or Social Security numbers and loan information.",Dataloss DB,,2009,42.866609999999994,-109.86098600000001,Others,Insider,Others,Network,West,West,12,F_regulated,Others,0.0015933717817269773,10.0,1,9,11.0,19.0,20.0,6.666666666666667,24.333333333333332
2009-09-14,University of Florida        ,Florida,DISC,EDU,25,"In August, the University's 
            Privacy Office was notified of a privacy breach after the discovery 
            of an unprotected computer file containing 34 names and 25 Social 
            Security numbers. It's believed the personal information belongs to 
            trainers working with the Florida Traffic and Bicycle Safety Education 
            program in 2006. The file was immediately removed.",Dataloss DB,,2009,29.651634,-82.324826,Others,Insider,Others,Network,South,Southeast,14,F_regulated,Others,3.0063618523150514e-05,9.99999999986112,1,8,10.99999999986112,17.99999999986112,18.99999999986112,6.33333333328704,22.33333333282411
